ID,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,AScore,Cscore,Impulsive,SS,Alcohol,Caff,Choc,Coke,Ecstasy,Heroin,LSD,Mushrooms,Nicotine,Benzos
1,25-34,M,Doctorate degree,Bangladesh,Ntribe,-0.67825,1.93886,1.43533,0.76096,-0.14277,-0.71126,-0.21575,CL5,CL6,CL6,CL3,CL4,CL0,CL2,CL0,CL4,CL0
2,35-44,M,Professional certificate/ diploma,Bangladesh,tribe,-0.46725,0.80523,-0.84732,-1.6209,-1.0145,-1.37983,0.40148,CL6,CL6,CL4,CL0,CL0,CL0,CL0,CL1,CL0,CL0
3,18-24,F,Masters degree,Bangladesh,Ntribe,-0.14882,-0.80615,-0.01928,0.59042,0.58489,-1.37983,-1.18084,CL4,CL5,CL4,CL2,CL0,CL0,CL0,CL0,CL2,CL3
4,35-44,F,Doctorate degree,Bangladesh,Ntribe,0.73545,-1.6334,-0.45174,-0.30172,1.30612,-0.21712,-0.21575,CL4,CL6,CL6,CL0,CL1,CL0,CL0,CL2,CL2,CL0
5,65+,F,Left school at 18 years,Bangladesh,tribe,-0.67825,-0.30033,-1.55521,2.03972,1.63088,-1.37983,-1.54858,CL2,CL6,CL4,CL0,CL0,CL0,CL0,CL0,CL6,CL0
6,45-54,M,Masters degree,Bangladesh,Ntribe,-0.46725,-1.09207,-0.45174,-0.30172,0.93949,-0.21712,0.07987,CL6,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL6,CL0
7,35-44,M,Left school at 16 years,Bangladesh,Ntribe,-1.32828,1.93886,-0.84732,-0.30172,1.63088,0.19268,-0.52593,CL5,CL6,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0
8,35-44,F,Professional certificate/ diploma,Bangladesh,Ntribe,0.62967,2.57309,-0.97631,0.76096,1.13407,-1.37983,-1.54858,CL4,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL6,CL0
9,55-64,M,Masters degree,Bangladesh,Ntribe,-0.24649,0.00332,-1.42424,0.59042,0.12331,-1.37983,-0.84637,CL6,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL6,CL1
10,25-34,F,University degree,Bangladesh,Ntribe,-1.05308,0.80523,-1.11902,-0.76096,1.81175,0.19268,0.07987,CL5,CL6,CL5,CL2,CL0,CL0,CL0,CL0,CL2,CL0
11,45-54,M,"Some college or university, no certificate or degree",Bangladesh,tribe,-1.32828,0.00332,0.14143,-1.92595,-0.52745,0.52975,1.2247,CL5,CL6,CL5,CL2,CL3,CL0,CL1,CL2,CL6,CL0
12,55-64,F,University degree,Bangladesh,Ntribe,2.28554,0.16767,0.44585,-1.6209,-0.78155,1.29221,0.07987,CL5,CL6,CL5,CL1,CL0,CL0,CL1,CL1,CL6,CL4
13,55-64,F,Professional certificate/ diploma,Bangladesh,Ntribe,-0.79151,0.80523,-0.01928,0.94156,3.46436,-0.71126,-0.84637,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0
14,55-64,F,Professional certificate/ diploma,Bangladesh,Ntribe,-0.92104,1.45421,0.44585,-0.60633,1.63088,1.29221,0.7654,CL6,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL6,CL0
15,55-64,M,University degree,Bangladesh,Ntribe,-2.05048,-1.50796,-1.55521,-1.07533,1.13407,-0.71126,-0.52593,CL5,CL6,CL5,CL2,CL1,CL0,CL0,CL0,CL0,CL0
16,35-44,F,"Some college or university, no certificate or degree",Bangladesh,Ntribe,-1.55078,-0.80615,-1.68062,0.28783,0.7583,-0.21712,-2.07848,CL6,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL6,CL1
